Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.insert (small).Data_HashMap_Lazy.0,12717,4348,63,0,49283072
All.insert (small).Data_HashMap_Strict.0,12785,4424,63,0,49283072
All.insert (small).HashMapBL.0,13881,3964,79,0,49283072
All.insert (small).HashMapBB.0,13872,4824,79,0,49283072
All.insert (small).HashMapBU.0,13746,3584,79,0,49283072
All.insert (small).HashMapUL.0,13889,4042,79,0,49283072
All.insert (small).HashMapUB.0,13589,4226,79,0,49283072
All.insert (small).HashMapUU.0,13220,3270,79,0,49283072
All.insert (small).Data_HashMap_Lazy.1,25541,8264,119,0,49283072
All.insert (small).Data_HashMap_Strict.1,25072,7854,119,0,49283072
All.insert (small).HashMapBL.1,82186,14220,447,0,49283072
All.insert (small).HashMapBB.1,78200,16452,423,0,49283072
All.insert (small).HashMapBU.1,69835,13060,423,0,49283072
All.insert (small).HashMapUL.1,72770,23110,447,0,49283072
All.insert (small).HashMapUB.1,64963,19340,423,0,49283072
All.insert (small).HashMapUU.1,60349,13362,383,0,49283072
All.insert (small).Data_HashMap_Lazy.2,44062,10152,128,0,49283072
All.insert (small).Data_HashMap_Strict.2,44124,6728,128,0,49283072
All.insert (small).HashMapBL.2,72364,18970,391,0,49283072
All.insert (small).HashMapBB.2,71938,14400,391,0,49283072
All.insert (small).HashMapBU.2,62889,18058,391,0,49283072
All.insert (small).HashMapUL.2,63413,14004,391,0,49283072
All.insert (small).HashMapUB.2,62648,14642,391,0,49283072
All.insert (small).HashMapUU.2,53929,19362,352,0,49283072
All.insert (small).Data_HashMap_Lazy.3,53354,14428,136,0,49283072
All.insert (small).Data_HashMap_Strict.3,53413,14084,136,0,49283072
All.insert (small).HashMapBL.3,76991,21272,407,0,49283072
All.insert (small).HashMapBB.3,75525,17510,407,0,49283072
All.insert (small).HashMapBU.3,67561,15542,407,0,49283072
All.insert (small).HashMapUL.3,67043,17576,407,0,49283072
All.insert (small).HashMapUB.3,64525,12866,407,0,49283072
All.insert (small).HashMapUU.3,57096,16948,367,0,49283072
All.insert (small).Data_HashMap_Lazy.4,59382,18576,144,0,49283072
All.insert (small).Data_HashMap_Strict.4,60076,19446,144,0,49283072
All.insert (small).HashMapBL.4,79363,19646,423,0,49283072
All.insert (small).HashMapBB.4,76633,13066,423,0,49283072
All.insert (small).HashMapBU.4,67748,17812,423,0,49283072
All.insert (small).HashMapUL.4,67325,19778,423,0,49283072
All.insert (small).HashMapUB.4,64446,19052,423,0,49283072
All.insert (small).HashMapUU.4,58892,15410,383,0,49283072
All.insert (small).Data_HashMap_Lazy.5,67308,15410,152,0,49283072
All.insert (small).Data_HashMap_Strict.5,64436,16958,152,0,49283072
All.insert (small).HashMapBL.5,82855,13170,439,0,49283072
All.insert (small).HashMapBB.5,80881,17154,440,0,49283072
All.insert (small).HashMapBU.5,75045,19064,439,0,49283072
All.insert (small).HashMapUL.5,72779,26276,439,0,49283072
All.insert (small).HashMapUB.5,69311,12910,439,0,49283072
All.insert (small).HashMapUU.5,57324,19188,400,0,49283072
All.insert (small).Data_HashMap_Lazy.6,71782,19516,160,0,49283072
All.insert (small).Data_HashMap_Strict.6,74286,14638,160,0,49283072
All.insert (small).HashMapBL.6,85414,13308,456,0,49283072
