Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.insert (small).Data_HashMap_Lazy.0,8735,1200,63,0,49283072
All.insert (small).Data_HashMap_Strict.0,8867,302,63,0,49283072
All.insert (small).HashMapBL.0,10852,232,79,0,49283072
All.insert (small).HashMapBB.0,11064,668,79,0,49283072
All.insert (small).HashMapBU.0,11947,1016,79,0,49283072
All.insert (small).HashMapUL.0,12300,720,79,0,49283072
All.insert (small).HashMapUB.0,12690,1110,79,0,49283072
All.insert (small).HashMapUU.0,10484,2050,79,0,49283072
All.insert (small).Data_HashMap_Lazy.1,17761,1384,119,0,49283072
All.insert (small).Data_HashMap_Strict.1,17021,1558,119,0,49283072
All.insert (small).HashMapBL.1,72829,4658,447,0,49283072
All.insert (small).HashMapBB.1,71866,6356,423,0,49283072
All.insert (small).HashMapBU.1,86737,7476,424,0,49283072
All.insert (small).HashMapUL.1,69258,4484,447,0,49283072
All.insert (small).HashMapUB.1,69775,2680,423,0,49283072
All.insert (small).HashMapUU.1,59942,3060,383,0,49283072
All.insert (small).Data_HashMap_Lazy.2,35655,2426,128,0,49283072
All.insert (small).Data_HashMap_Strict.2,32040,660,127,0,49283072
All.insert (small).HashMapBL.2,63619,6958,391,0,49283072
All.insert (small).HashMapBB.2,64727,2468,391,0,49283072
All.insert (small).HashMapBU.2,60710,3600,392,0,49283072
All.insert (small).HashMapUL.2,59329,3176,391,0,49283072
All.insert (small).HashMapUB.2,57294,1674,391,0,49283072
All.insert (small).HashMapUU.2,57274,4070,352,0,49283072
All.insert (small).Data_HashMap_Lazy.3,36429,668,135,0,49283072
All.insert (small).Data_HashMap_Strict.3,41799,3550,136,0,49283072
All.insert (small).HashMapBL.3,63914,2550,407,0,49283072
All.insert (small).HashMapBB.3,65143,3946,407,0,49283072
All.insert (small).HashMapBU.3,61313,4990,407,0,49283072
All.insert (small).HashMapUL.3,59367,4000,407,0,49283072
All.insert (small).HashMapUB.3,64595,5534,408,0,49283072
All.insert (small).HashMapUU.3,51722,2028,367,0,49283072
All.insert (small).Data_HashMap_Lazy.4,49556,3440,144,0,49283072
All.insert (small).Data_HashMap_Strict.4,42170,2862,144,0,49283072
All.insert (small).HashMapBL.4,65830,5462,423,0,49283072
All.insert (small).HashMapBB.4,66570,3922,423,0,49283072
All.insert (small).HashMapBU.4,62735,1382,423,0,49283072
All.insert (small).HashMapUL.4,71996,6746,424,0,49283072
All.insert (small).HashMapUB.4,67949,5670,423,0,49283072
All.insert (small).HashMapUU.4,53002,3074,383,0,49283072
All.insert (small).Data_HashMap_Lazy.5,57865,4494,152,0,49283072
All.insert (small).Data_HashMap_Strict.5,58869,1546,152,0,49283072
All.insert (small).HashMapBL.5,82200,5998,440,0,49283072
All.insert (small).HashMapBB.5,79923,7032,440,0,49283072
All.insert (small).HashMapBU.5,65812,5274,439,0,49283072
All.insert (small).HashMapUL.5,66760,4102,439,0,49283072
All.insert (small).HashMapUB.5,64947,4976,439,0,49283072
All.insert (small).HashMapUU.5,59770,5742,400,0,49283072
All.insert (small).Data_HashMap_Lazy.6,60854,2118,160,0,49283072
All.insert (small).Data_HashMap_Strict.6,63980,4812,160,0,49283072
