Name,Mean (ps),2*Stdev (ps)
All.Foldr (+) 0 on a hashmap of size N.HashMapLazy.0,5306,202
All.Foldr (+) 0 on a hashmap of size N.HashMapStrict.0,5270,414
All.Foldr (+) 0 on a hashmap of size N.MapBL.0,5231,256
All.Foldr (+) 0 on a hashmap of size N.MapBB.0,5316,506
All.Foldr (+) 0 on a hashmap of size N.MapBU.0,5311,358
All.Foldr (+) 0 on a hashmap of size N.MapUL.0,5239,450
All.Foldr (+) 0 on a hashmap of size N.MapUB.0,5264,336
All.Foldr (+) 0 on a hashmap of size N.MapUU.0,5241,472
All.Foldr (+) 0 on a hashmap of size N.HashMapLazy.1,5538,366
All.Foldr (+) 0 on a hashmap of size N.HashMapStrict.1,5469,444
All.Foldr (+) 0 on a hashmap of size N.MapBL.1,5210,426
All.Foldr (+) 0 on a hashmap of size N.MapBB.1,5323,412
All.Foldr (+) 0 on a hashmap of size N.MapBU.1,5280,464
All.Foldr (+) 0 on a hashmap of size N.MapUL.1,5204,508
All.Foldr (+) 0 on a hashmap of size N.MapUB.1,5327,434
All.Foldr (+) 0 on a hashmap of size N.MapUU.1,5238,514
All.Foldr (+) 0 on a hashmap of size N.HashMapLazy.2,14257,884
All.Foldr (+) 0 on a hashmap of size N.HashMapStrict.2,14356,972
All.Foldr (+) 0 on a hashmap of size N.MapBL.2,13136,1040
All.Foldr (+) 0 on a hashmap of size N.MapBB.2,12666,632
All.Foldr (+) 0 on a hashmap of size N.MapBU.2,12684,1148
All.Foldr (+) 0 on a hashmap of size N.MapUL.2,13227,974
All.Foldr (+) 0 on a hashmap of size N.MapUB.2,12621,894
All.Foldr (+) 0 on a hashmap of size N.MapUU.2,12521,1186
All.Foldr (+) 0 on a hashmap of size N.HashMapLazy.4,20450,818
All.Foldr (+) 0 on a hashmap of size N.HashMapStrict.4,20486,1896
All.Foldr (+) 0 on a hashmap of size N.MapBL.4,15757,1204
All.Foldr (+) 0 on a hashmap of size N.MapBB.4,14593,1102
All.Foldr (+) 0 on a hashmap of size N.MapBU.4,14595,1096
All.Foldr (+) 0 on a hashmap of size N.MapUL.4,15862,902
All.Foldr (+) 0 on a hashmap of size N.MapUB.4,14722,420
All.Foldr (+) 0 on a hashmap of size N.MapUU.4,14698,1422
All.Foldr (+) 0 on a hashmap of size N.HashMapLazy.8,35622,3300
All.Foldr (+) 0 on a hashmap of size N.HashMapStrict.8,35459,2702
All.Foldr (+) 0 on a hashmap of size N.MapBL.8,21379,1088
All.Foldr (+) 0 on a hashmap of size N.MapBB.8,18419,1214
All.Foldr (+) 0 on a hashmap of size N.MapBU.8,18117,1802
All.Foldr (+) 0 on a hashmap of size N.MapUL.8,21355,1146
All.Foldr (+) 0 on a hashmap of size N.MapUB.8,18170,1632
All.Foldr (+) 0 on a hashmap of size N.MapUU.8,18089,834
All.Foldr (+) 0 on a hashmap of size N.HashMapLazy.16,76130,6686
All.Foldr (+) 0 on a hashmap of size N.HashMapStrict.16,75870,3176
All.Foldr (+) 0 on a hashmap of size N.MapBL.16,37580,3616
All.Foldr (+) 0 on a hashmap of size N.MapBB.16,27478,1628
All.Foldr (+) 0 on a hashmap of size N.MapBU.16,26267,2350
All.Foldr (+) 0 on a hashmap of size N.MapUL.16,38229,2664
All.Foldr (+) 0 on a hashmap of size N.MapUB.16,27596,1998
All.Foldr (+) 0 on a hashmap of size N.MapUU.16,26074,1944
All.Foldr (+) 0 on a hashmap of size N.HashMapLazy.32,167299,14364
All.Foldr (+) 0 on a hashmap of size N.HashMapStrict.32,167352,10126
All.Foldr (+) 0 on a hashmap of size N.MapBL.32,73602,6722
All.Foldr (+) 0 on a hashmap of size N.MapBB.32,46492,2506
All.Foldr (+) 0 on a hashmap of size N.MapBU.32,42245,3932
All.Foldr (+) 0 on a hashmap of size N.MapUL.32,74506,5820
All.Foldr (+) 0 on a hashmap of size N.MapUB.32,46322,2942
All.Foldr (+) 0 on a hashmap of size N.MapUU.32,42998,2024
All.Foldr (+) 0 on a hashmap of size N.HashMapLazy.64,402430,27842
All.Foldr (+) 0 on a hashmap of size N.HashMapStrict.64,402340,17526
All.Foldr (+) 0 on a hashmap of size N.MapBL.64,301720,26654
All.Foldr (+) 0 on a hashmap of size N.MapBB.64,280897,22758
All.Foldr (+) 0 on a hashmap of size N.MapBU.64,289466,11440
All.Foldr (+) 0 on a hashmap of size N.MapUL.64,299462,18186
All.Foldr (+) 0 on a hashmap of size N.MapUB.64,281914,18836
All.Foldr (+) 0 on a hashmap of size N.MapUU.64,288357,17010
All.Foldr (+) 0 on a hashmap of size N.HashMapLazy.128,619160,26048
All.Foldr (+) 0 on a hashmap of size N.HashMapStrict.128,620844,37910
All.Foldr (+) 0 on a hashmap of size N.MapBL.128,384159,27076
All.Foldr (+) 0 on a hashmap of size N.MapBB.128,344778,20452
All.Foldr (+) 0 on a hashmap of size N.MapBU.128,350995,31758
All.Foldr (+) 0 on a hashmap of size N.MapUL.128,385978,16628
All.Foldr (+) 0 on a hashmap of size N.MapUB.128,340420,32722
All.Foldr (+) 0 on a hashmap of size N.MapUU.128,350079,30142
All.Foldr (+) 0 on a hashmap of size N.HashMapLazy.256,1242087,115014
All.Foldr (+) 0 on a hashmap of size N.HashMapStrict.256,1236295,103164
All.Foldr (+) 0 on a hashmap of size N.MapBL.256,586810,41208
All.Foldr (+) 0 on a hashmap of size N.MapBB.256,469589,43580
All.Foldr (+) 0 on a hashmap of size N.MapBU.256,478228,31590
All.Foldr (+) 0 on a hashmap of size N.MapUL.256,589067,47590
All.Foldr (+) 0 on a hashmap of size N.MapUB.256,478104,27406
All.Foldr (+) 0 on a hashmap of size N.MapUU.256,475986,30844
All.Foldr (+) 0 on a hashmap of size N.HashMapLazy.512,2437651,232126
All.Foldr (+) 0 on a hashmap of size N.HashMapStrict.512,2439086,137876
All.Foldr (+) 0 on a hashmap of size N.MapBL.512,1114782,104682
All.Foldr (+) 0 on a hashmap of size N.MapBB.512,875556,70510
All.Foldr (+) 0 on a hashmap of size N.MapBU.512,731642,63580
All.Foldr (+) 0 on a hashmap of size N.MapUL.512,1142684,92216
All.Foldr (+) 0 on a hashmap of size N.MapUB.512,885034,54560
All.Foldr (+) 0 on a hashmap of size N.MapUU.512,716922,64844
All.Foldr (+) 0 on a hashmap of size N.HashMapLazy.1024,5240896,508300
All.Foldr (+) 0 on a hashmap of size N.HashMapStrict.1024,5051522,197556
All.Foldr (+) 0 on a hashmap of size N.MapBL.1024,2304433,206324
All.Foldr (+) 0 on a hashmap of size N.MapBB.1024,1445997,93820
All.Foldr (+) 0 on a hashmap of size N.MapBU.1024,1262725,122682
All.Foldr (+) 0 on a hashmap of size N.MapUL.1024,2278287,111250
All.Foldr (+) 0 on a hashmap of size N.MapUB.1024,1425151,109312
All.Foldr (+) 0 on a hashmap of size N.MapUU.1024,1282621,109476
