Name,Mean (ps),2*Stdev (ps)
All.insert (small).HashMapLazy.0,7861,30
All.insert (small).HashMapStrict.0,7983,510
All.insert (small).MapBL.0,3162,178
All.insert (small).MapBB.0,3148,208
All.insert (small).MapBU.0,3165,196
All.insert (small).MapUL.0,3164,190
All.insert (small).MapUB.0,3159,216
All.insert (small).MapUU.0,3139,192
All.insert (small).HashMapLazy.1,16424,1466
All.insert (small).HashMapStrict.1,16238,1074
All.insert (small).MapBL.1,37009,2904
All.insert (small).MapBB.1,36691,3658
All.insert (small).MapBU.1,36157,2844
All.insert (small).MapUL.1,34293,1602
All.insert (small).MapUB.1,34761,3082
All.insert (small).MapUU.1,32606,3084
All.insert (small).HashMapLazy.2,26669,1718
All.insert (small).HashMapStrict.2,26816,1672
All.insert (small).MapBL.2,34293,2058
All.insert (small).MapBB.2,34723,1518
All.insert (small).MapBU.2,32781,1724
All.insert (small).MapUL.2,33198,3064
All.insert (small).MapUB.2,31904,1826
All.insert (small).MapUU.2,28992,2026
All.insert (small).HashMapLazy.3,31713,2772
All.insert (small).HashMapStrict.3,31640,2900
All.insert (small).MapBL.3,36736,2460
All.insert (small).MapBB.3,37784,2608
All.insert (small).MapBU.3,34050,3066
All.insert (small).MapUL.3,34355,2816
All.insert (small).MapUB.3,32387,412
All.insert (small).MapUU.3,29091,2028
All.insert (small).HashMapLazy.4,36777,3074
All.insert (small).HashMapStrict.4,36018,1680
All.insert (small).MapBL.4,35889,3362
All.insert (small).MapBB.4,35622,1700
All.insert (small).MapBU.4,33575,2170
All.insert (small).MapUL.4,33281,1952
All.insert (small).MapUB.4,31781,1612
All.insert (small).MapUU.4,28804,1716
All.insert (small).HashMapLazy.5,40410,2942
All.insert (small).HashMapStrict.5,42514,2608
All.insert (small).MapBL.5,37022,2778
All.insert (small).MapBB.5,37531,3184
All.insert (small).MapBU.5,34569,1730
All.insert (small).MapUL.5,34475,3442
All.insert (small).MapUB.5,32813,2916
All.insert (small).MapUU.5,28870,2078
All.insert (small).HashMapLazy.6,43418,3750
All.insert (small).HashMapStrict.6,43401,2760
All.insert (small).MapBL.6,39180,3330
All.insert (small).MapBB.6,42927,4000
All.insert (small).MapBU.6,34011,3126
All.insert (small).MapUL.6,35839,2416
All.insert (small).MapUB.6,33354,2000
All.insert (small).MapUU.6,30056,1678
All.insert (small).HashMapLazy.7,46834,2816
All.insert (small).HashMapStrict.7,46814,3382
All.insert (small).MapBL.7,41348,2016
All.insert (small).MapBB.7,40928,2150
All.insert (small).MapBU.7,34953,3244
All.insert (small).MapUL.7,36939,2290
All.insert (small).MapUB.7,34178,2828
All.insert (small).MapUU.7,29689,1028
All.insert (small).HashMapLazy.8,49538,1916
All.insert (small).HashMapStrict.8,49753,4850
All.insert (small).MapBL.8,42084,1908
All.insert (small).MapBB.8,41618,2982
All.insert (small).MapBU.8,35574,3018
All.insert (small).MapUL.8,37920,3592
All.insert (small).MapUB.8,34895,2552
All.insert (small).MapUU.8,30431,2988
All.insert (small).HashMapLazy.9,52043,3100
All.insert (small).HashMapStrict.9,52895,4842
All.insert (small).MapBL.9,43040,2742
All.insert (small).MapBB.9,44093,2302
All.insert (small).MapBU.9,37117,2890
All.insert (small).MapUL.9,39902,2800
All.insert (small).MapUB.9,36044,3162
All.insert (small).MapUU.9,32000,3060
All.insert (small).HashMapLazy.10,55532,4618
All.insert (small).HashMapStrict.10,54581,3006
All.insert (small).MapBL.10,43950,3010
All.insert (small).MapBB.10,44615,2656
All.insert (small).MapBU.10,37878,2970
All.insert (small).MapUL.10,40478,1196
All.insert (small).MapUB.10,36890,726
All.insert (small).MapUU.10,31997,2984
All.insert (small).HashMapLazy.11,58477,5078
All.insert (small).HashMapStrict.11,57511,1792
All.insert (small).MapBL.11,45159,2346
All.insert (small).MapBB.11,45530,3566
All.insert (small).MapBU.11,38656,3040
All.insert (small).MapUL.11,44008,3252
All.insert (small).MapUB.11,37785,3090
All.insert (small).MapUU.11,31686,1338
All.insert (small).HashMapLazy.12,61240,5900
All.insert (small).HashMapStrict.12,61882,4146
All.insert (small).MapBL.12,46452,3000
All.insert (small).MapBB.12,47583,2118
All.insert (small).MapBU.12,40118,3700
All.insert (small).MapUL.12,44984,2658
All.insert (small).MapUB.12,37872,1512
All.insert (small).MapUU.12,32607,3182
All.insert (small).HashMapLazy.13,62744,5888
All.insert (small).HashMapStrict.13,61654,3082
All.insert (small).MapBL.13,53263,2372
All.insert (small).MapBB.13,48304,4484
All.insert (small).MapBU.13,40386,1420
All.insert (small).MapUL.13,43702,2726
All.insert (small).MapUB.13,39649,2912
All.insert (small).MapUU.13,33208,1494
All.insert (small).HashMapLazy.14,65726,5574
All.insert (small).HashMapStrict.14,64592,2902
All.insert (small).MapBL.14,49250,3534
All.insert (small).MapBB.14,50387,2678
All.insert (small).MapBU.14,40032,2712
