Name,Mean (ps),2*Stdev (ps)
All.insert.HashMapLazy.0,11675,954
All.insert.HashMapStrict.0,11702,1074
All.insert.MapBL.0,8133,518
All.insert.MapBB.0,7744,560
All.insert.MapBU.0,7770,544
All.insert.MapUL.0,7787,528
All.insert.MapUB.0,7772,524
All.insert.MapUU.0,7771,462
All.insert.HashMapLazy.1,23529,1830
All.insert.HashMapStrict.1,23365,1990
All.insert.MapBL.1,56356,3230
All.insert.MapBB.1,55055,5472
All.insert.MapBU.1,49726,2702
All.insert.MapUL.1,47614,4620
All.insert.MapUB.1,49130,2022
All.insert.MapUU.1,44992,3264
All.insert.HashMapLazy.2,41947,2034
All.insert.HashMapStrict.2,41802,2288
All.insert.MapBL.2,56159,4152
All.insert.MapBB.2,54633,3386
All.insert.MapBU.2,48441,3224
All.insert.MapUL.2,47733,1626
All.insert.MapUB.2,46654,4050
All.insert.MapUU.2,41639,3122
All.insert.HashMapLazy.4,55117,4258
All.insert.HashMapStrict.4,55330,5166
All.insert.MapBL.4,61806,1914
All.insert.MapBB.4,59168,3492
All.insert.MapBU.4,49658,3452
All.insert.MapUL.4,53650,5002
All.insert.MapUB.4,49902,4870
All.insert.MapUU.4,44333,4338
All.insert.HashMapLazy.8,83060,8022
All.insert.HashMapStrict.8,81721,6518
All.insert.MapBL.8,69097,4960
All.insert.MapBB.8,59832,4596
All.insert.MapBU.8,51597,4314
All.insert.MapUL.8,60890,4636
All.insert.MapUB.8,50416,1534
All.insert.MapUU.8,45851,2212
All.insert.HashMapLazy.16,133492,10760
All.insert.HashMapStrict.16,133393,7672
All.insert.MapBL.16,98647,6574
All.insert.MapBB.16,79710,3972
All.insert.MapBU.16,66378,3974
All.insert.MapUL.16,84888,7062
All.insert.MapUB.16,61662,2962
All.insert.MapUU.16,52860,2082
All.insert.HashMapLazy.32,224530,15520
All.insert.HashMapStrict.32,222258,13470
All.insert.MapBL.32,172242,16288
All.insert.MapBB.32,134380,7162
All.insert.MapBU.32,111142,4002
All.insert.MapUL.32,155821,13084
All.insert.MapUB.32,109802,6872
All.insert.MapUU.32,96220,9468
All.insert.HashMapLazy.64,539444,46288
All.insert.HashMapStrict.64,540299,44574
All.insert.MapBL.64,294223,27720
All.insert.MapBB.64,241170,18140
All.insert.MapBU.64,184509,13572
All.insert.MapUL.64,227734,8850
All.insert.MapUB.64,185508,16646
All.insert.MapUU.64,154341,7486
All.insert.HashMapLazy.128,954187,60220
All.insert.HashMapStrict.128,951923,51626
All.insert.MapBL.128,416438,29110
All.insert.MapBB.128,287060,18610
All.insert.MapBU.128,206896,12894
All.insert.MapUL.128,333202,18792
All.insert.MapUB.128,206211,13530
All.insert.MapUU.128,156670,14350
All.insert.HashMapLazy.256,1701633,124042
All.insert.HashMapStrict.256,1689761,118948
All.insert.MapBL.256,582249,27880
All.insert.MapBB.256,365717,26116
All.insert.MapBU.256,247953,12406
All.insert.MapUL.256,500222,24716
All.insert.MapUB.256,248148,16832
All.insert.MapUU.256,153926,13416
All.insert.HashMapLazy.512,3267703,158798
All.insert.HashMapStrict.512,3274865,219444
All.insert.MapBL.512,1011311,86636
All.insert.MapBB.512,547837,38654
All.insert.MapBU.512,342020,31296
All.insert.MapUL.512,957987,78146
All.insert.MapUB.512,342321,24240
All.insert.MapUU.512,162450,3352
All.insert.HashMapLazy.1024,5898635,531584
All.insert.HashMapStrict.1024,5911669,558580
All.insert.MapBL.1024,2121656,109588
All.insert.MapBB.1024,928181,52732
All.insert.MapBU.1024,558831,34412
All.insert.MapUL.1024,2557503,194662
All.insert.MapUB.1024,547259,54660
All.insert.MapUU.1024,210276,18026
